bron_sbi_code|bron_omschrijving|cbs_sbi_code|q1|q2|q3
19201|Aardolieraffinage|19201|productie, installatie, reparatie|productie|Aardolieraffinage
19202|Aardolieverwerking (geen -raffinage)|19202|productie, installatie, reparatie|productie|Aardolieverwerking (geen -raffinage)
2011|Vervaardiging van industriële gassen|2011|productie, installatie, reparatie|productie|Vervaardiging van industriële gassen
2012|Vervaardiging van kleur- en verfstoffen|2012|productie, installatie, reparatie|productie|Vervaardiging van kleur- en verfstoffen
2013|Vervaardiging van overige anorganische basischemicaliën|2013|productie, installatie, reparatie|productie|Vervaardiging van overige anorganische basischemicaliën
20141|Vervaardiging van petrochemische producten|20141|productie, installatie, reparatie|productie|Vervaardiging van petrochemische producten
20149|Vervaardiging van overige organische basischemicaliën (geen petrochemische producten)|20149|productie, installatie, reparatie|productie|Vervaardiging van organische basischemicaliën (geen petrochemische producten)
2015|Vervaardiging van kunstmeststoffen en stikstofverbindingen|2015|productie, installatie, reparatie|productie|Vervaardiging van kunstmeststoffen en stikstofverbindingen
2016|Vervaardiging van kunststof in primaire vorm|2016|productie, installatie, reparatie|productie|Vervaardiging van kunststof in primaire vorm
2017|Vervaardiging van synthetische rubber in primaire vorm|2017|productie, installatie, reparatie|productie|Vervaardiging van synthetische rubber in primaire vorm
2020|Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën|2020|productie, installatie, reparatie|productie|Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën
2030|Vervaardiging van verf, vernis e.d., drukinkt en mastiek|2030|productie, installatie, reparatie|productie|Vervaardiging van verf, vernis e.d., drukinkt en mastiek
2041|Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen|2041|productie, installatie, reparatie|productie|Vervaardiging van zeep en wasmiddelen, poets- en reinigingsmiddelen
2042|Vervaardiging van parfums en cosmetica|2042|productie, installatie, reparatie|productie|Vervaardiging van parfums en cosmetica
2051|Vervaardiging van kruit en springstoffen en van lucifers|2051|productie, installatie, reparatie|productie|Vervaardiging van kruit en springstoffen en van lucifers
2052|Vervaardiging van lijm en bereide kleefmiddelen|2052|productie, installatie, reparatie|productie|Vervaardiging van lijm en bereide kleefmiddelen
2053|Vervaardiging van etherische oliën|2053|productie, installatie, reparatie|productie|Vervaardiging van etherische oliën
2059|Vervaardiging van overige chemische producten (rest)|2059|productie, installatie, reparatie|productie|Vervaardiging van overige chemische producten (rest)
2060|Vervaardiging van synthetische en kunstmatige vezels|2060|productie, installatie, reparatie|productie|Vervaardiging van synthetische en kunstmatige vezels
210|Bosbouw||bosbouw|bosbouw|
2110|Vervaardiging van farmaceutische grondstoffen|2110|productie, installatie, reparatie|productie|Vervaardiging van farmaceutische grondstoffen
2120|Vervaardiging van farmaceutische producten (geen grondstoffen)|2120|productie, installatie, reparatie|productie|Vervaardiging van farmaceutische producten (geen grondstoffen)
220|Exploitatie van bossen||bosbouw|Exploitatie van bossen|
2211|Vervaardiging van rubberbanden en loopvlakvernieuwing|2211|productie, installatie, reparatie|productie|Vervaardiging van rubberbanden en loopvlakvernieuwing
2219|Vervaardiging van producten van rubber (geen banden)|2219|productie, installatie, reparatie|productie|Vervaardiging van producten van rubber (geen banden)
2221|Vervaardiging van platen, folie, buizen en profielen van kunststof|2221|productie, installatie, reparatie|productie|Vervaardiging van platen, folie , buizen en profielen van kunststof
2222|Vervaardiging van verpakkingsmiddelen van kunststof|2222|productie, installatie, reparatie|productie|Vervaardiging van verpakkingsmiddelen van kunststof
2223|Vervaardiging van kunststofproducten voor de bouw|2223|productie, installatie, reparatie|productie|Vervaardiging van kunststofproducten voor de bouw
2229|Vervaardiging van overige producten van kunststof|2229|productie, installatie, reparatie|productie|Vervaardiging van overige producten van kunststof
2311|Vervaardiging van vlakglas|2311|productie, installatie, reparatie|productie|Vervaardiging van vlakglas
2312|Vormen en bewerken van vlakglas|2312|productie, installatie, reparatie|productie|Vormen en bewerken van vlakglas
2313|Vervaardiging van holglas|2313|productie, installatie, reparatie|productie|Vervaardiging van holglas
2314|Vervaardiging van glasvezels|2314|productie, installatie, reparatie|productie|Vervaardiging van glasvezels
2319|Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk|2319|productie, installatie, reparatie|productie|Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk
2320|Vervaardiging van vuurvaste keramische producten|2320|productie, installatie, reparatie|productie|Vervaardiging van vuurvaste keramische producten
2331|Vervaardiging van keramische tegels en plavuizen|2331|productie, installatie, reparatie|productie|Vervaardiging van keramische tegels en plavuizen
2332|Vervaardiging van keramische producten voor de bouw (geen tegels en plavuizen)|2332|productie, installatie, reparatie|productie|Vervaardiging van keramische producten voor de bouw (geen tegels en plavuizen)
2341|Vervaardiging van huishoudelijk en sieraardewerk|2341|productie, installatie, reparatie|productie|Vervaardiging van huishoudelijk en sieraardewerk
2342|Vervaardiging van sanitair aardewerk|2342|productie, installatie, reparatie|productie|Vervaardiging van sanitair aardewerk
2343|Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen|2343|productie, installatie, reparatie|productie|Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen
2349|Vervaardiging van overige keramische producten n.e.g.|2349|productie, installatie, reparatie|productie|Vervaardiging van overige keramische producten (rest)
2351|Vervaardiging van cement|2351|productie, installatie, reparatie|productie|Vervaardiging van cement
23611|Vervaardiging van producten van beton voor de bouw|23611|productie, installatie, reparatie|productie|Vervaardiging van producten van beton voor de bouw
2362|Vervaardiging van producten van gips voor de bouw|2362|productie, installatie, reparatie|productie|Vervaardiging van producten van gips voor de bouw
2363|Vervaardiging van stortklare beton|2363|productie, installatie, reparatie|productie|Vervaardiging van stortklare beton
2364|Vervaardiging van mortel in droge vorm|2364|productie, installatie, reparatie|productie|Vervaardiging van mortel in droge vorm
2369|Vervaardiging van overige producten van beton, gips en cement|2369|productie, installatie, reparatie|productie|Vervaardiging van overige producten van beton, gips en cement
2370|Natuursteenbewerking|2370|productie, installatie, reparatie|productie|Natuursteenbewerking
2391|Vervaardiging van schuur-, slijp- en polijstmiddelen|2391|productie, installatie, reparatie|productie|Vervaardiging van schuur-, slijp- en polijstmiddelen
2399|Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen)|2399|productie, installatie, reparatie|productie|Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen)
240|Dienstverlening voor de bosbouw||bosbouw|Dienstverlening voor de bosbouw|
2410|Vervaardiging van ijzer en staal en van ferrolegeringen|2410|productie, installatie, reparatie|productie|Vervaardiging van ijzer en staal en van ferrolegeringen
